HD SSD Kingston SA400S37 480GB,"169,",NoneType,/HD-SSD-KINGSTON-SA400S37-480GB/dp/B075BKXSCQ/ref=sr_1_1?keywords=ssd&qid=1684440445&sr=8-1&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"SSD, Kingston, SA400S37/960G","347,",NoneType,/DESKTOP-NOTEBOOK-KINGSTON-SA400S37-960G/dp/B079XC5PVV/ref=sr_1_2?keywords=ssd&qid=1684440445&sr=8-2&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
"SSD A400, Kingston, SA400S37/240G, Preto","141,",NoneType,/SSD-SATA3-240GB-Kingston-SA400S37/dp/B01N5IB20Q/ref=sr_1_3?keywords=ssd&qid=1684440445&sr=8-3&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
SSD Kingston NV2 1TB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),"320,",NoneType,/Kingston-Leitura-3500MB-Grava%C3%A7%C3%A3o-2100MB/dp/B0BBWH1R8H/ref=sr_1_4?keywords=ssd&qid=1684440445&sr=8-4&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
"SSD, Kingston, SA400S37/480G","199,",NoneType,/SSD-SATA3-480GB-Kingston-SA400S37/dp/B01N0TQPQB/ref=sr_1_5?keywords=ssd&qid=1684440445&sr=8-5&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"Hd Ssd Kingston 240gb Sata 3 A400 2,5 Notebook","105,",NoneType,/Kingston-240gb-Sata-A400-Notebook/dp/B07P97M7HP/ref=sr_1_6?keywords=ssd&qid=1684440445&sr=8-6&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
SSD Kingston NV2 500GB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2100MB/s),"195,",NoneType,/Kingston-Leitura-3500MB-Grava%C3%A7%C3%A3o-2100MB/dp/B0BBWJH1P8/ref=sr_1_7?keywords=ssd&qid=1684440445&sr=8-7&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
Ssd 1tb M.2 NVMe PCIe 3500mb/s Leit - 2100mb/s Grav NV2 SNV2S/1000G Kingston,"309,",NoneType,/Ssd-NVMe-PCIe-3500mb-Leit/dp/B0BZFVCVSV/ref=sr_1_8?keywords=ssd&qid=1684440445&sr=8-8&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
Ssd 480Gb Kingston A400 Bulk,"164,",NoneType,/Ssd-480Gb-Kingston-A400-Bulk/dp/B08NG86HZD/ref=sr_1_9?keywords=ssd&qid=1684440445&sr=8-9&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
Hd Ssd 240gb Kingston Sata A 400 2.5 PC,"105,",NoneType,/Ssd-240gb-Kingston-Sata-400/dp/B07PBCXF63/ref=sr_1_10?keywords=ssd&qid=1684440445&sr=8-10&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
SSD M.2 2280 Western Digital Green SN350 1TB NVME - WDS100T3G0C,"278,",NoneType,/2280-GREEN-SN350-NVME-WDS100T3G0C/dp/B09DVQQL9G/ref=sr_1_11?keywords=ssd&qid=1684440445&sr=8-11&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,2023-05-18
"Hd Ssd 1tb Crucial Sata 3 2.5"" Bx500 Ct1000bx500ssd1","309,",NoneType,/Ssd-Crucial-Sata-Bx500-Ct1000bx500ssd1/dp/B07YD579WM/ref=sr_1_12?keywords=ssd&qid=1684440445&sr=8-12&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
Kingston A400 SSD Interno SA400S37/120GB - Para Desktop/Notebooks,"127,",NoneType,/SSD-SATA3-120GB-Kingston-SA400S37/dp/B01N6JQS8C/ref=sr_1_13?keywords=ssd&qid=1684440445&sr=8-13&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"SSD 240GB Kingston A400, SATA, Leitura 500MB/s, Gravação 350MB/s - SA400S37/240G","105,",NoneType,/240GB-Kingston-Leitura-500MB-Grava%C3%A7%C3%A3o/dp/B06XZ47JQ5/ref=sr_1_14?keywords=ssd&qid=1684440445&sr=8-14&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"Somnambulist SSD 480GB SATA III 6GB/S Interno Disco Rígido Unidade De Estado Sólido De 2,5”7mm 3D NAND Chip Até 520 Mb/s Para Atualizar Computadores Laptop e Desktop (dragão negro 480gb)","139,",NoneType,/Somnambulist-Interno-Unidade-Atualizar-Computadores/dp/B0B3MMNG1B/ref=sr_1_15?keywords=ssd&qid=1684440445&sr=8-15&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"SSD Crucial BX500-480GB 3D NAND SATA 2.5"",   Micron, CT480BX500SSD1 I","185,",NoneType,/CRUCIAL-BX500-480GB-MICRON-Micron-CT480BX500SSD1/dp/B07G3KGYZQ/ref=sr_1_16?keywords=ssd&qid=1684440445&sr=8-16&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"SSD PATRIOT BURST 240GB 2,5"" SATA 3 - PBE240GS25SSDR","99,",NoneType,/PATRIOT-BURST-240GB-SATA-PBE240GS25SSDR/dp/B08LK8ZYJ1/ref=sr_1_17?keywords=ssd&qid=1684440445&sr=8-17,2023-05-18
Ssd Kingston M.2 1tb Nv1 Gen 3.0 2.100mb/s,"309,",NoneType,/Ssd-Kingston-M-2-1tb-2-100mb/dp/B09W65SMFZ/ref=sr_1_18?keywords=ssd&qid=1684440445&sr=8-18&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
"HD SSD 480GB Sata3 WD Western Digital 2, 5 - WDS480G2G0A","169,",NoneType,/WD-Green-2-5%C2%B4-480GB-Leituras/dp/B01M3POPK3/ref=sr_1_19?keywords=ssd&qid=1684440445&sr=8-19&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
SSD Kingston NV2 2TB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 2800MB/s),"689,",NoneType,/Kingston-Leitura-3500MB-Grava%C3%A7%C3%A3o-2800MB/dp/B0BDTC589G/ref=sr_1_20?keywords=ssd&qid=1684440445&sr=8-20&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,2023-05-18
SSD Wd Green 2.5´ 240Gb SATA IIi 6Gb/S Leituras. 545Mb/S e Gravações. 465Mb/S - Wds240G2G0A,"109,",NoneType,/Green-240Gb-Leituras-545Mb-Grava%C3%A7%C3%B5es/dp/B076Y374ZH/ref=sr_1_21?keywords=ssd&qid=1684440445&sr=8-21&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
SSD Samsung (MZ-V7S1T0B/AM) 970 EVO Plus 1TB - Interface M.2 NVMe com tecnologia V-NAND,"570,",NoneType,/SSD-Samsung-MZ-V7S1T0B-AM-Plus/dp/B07MFZY2F2/ref=sr_1_22?keywords=ssd&qid=1684440445&sr=8-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,2023-05-18
"Crucial BX500 240GB 3D NAND SATA SSD interno de 2,5 polegadas, até 540MB/S - CT240BX500SSD1Z Black/Blue","119,",NoneType,/Crucial-BX500-interno-polegadas-Black/dp/B07G3KRZBX/ref=sr_1_23?keywords=ssd&qid=1684440445&sr=8-23&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"Somnambulist SSD 2TB SATA III 6GB/S Interno Disco Rígido Unidade De Estado Sólido De 2,5”7mm 3D NAND Chip Até 520 Mb/s (Preto-2TB)…","474,",NoneType,/Estado-S%C3%B3lido-interno-Notebook-Preto-2TB/dp/B095XVNYLC/ref=sr_1_24?keywords=ssd&qid=1684440445&sr=8-24&ufe=app_do%3Aamzn1.fos.4bddec23-2dcf-4403-8597-e1a02442043d,2023-05-18
"Crucial BX500 240 GB 3D NAND SATA SSD interno de 2,5 polegadas, até 540 MB/s - CT240BX500SSD1 preto/azul","145,",NoneType,/CRUCIAL-BX500-NAND-SATA-MICRON_CT240BX500SSD1/dp/B07G3YNLJB/ref=sr_1_25?keywords=ssd&qid=1684440445&sr=8-25&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
Kingston SSD interno NV2 250G M.2 2280 NVMe | PCIe 4.0 Gen 4x4 | Até 3000 MB/s | SNV2S/250G,"167,",NoneType,/Kingston-interno-250G-2280-SNV2S/dp/B0BBWH7DBT/ref=sr_1_26?keywords=ssd&qid=1684440445&sr=8-26&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"SSD Crucial BX500-500GB Sata 3 7MM 2,5"" – Micron","179,",NoneType,/SSD-Crucial-BX500-500GB-Sata-7MM/dp/B0B9BL9T4H/ref=sr_1_27?keywords=ssd&qid=1684440445&sr=8-27&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
Hd Ssd 120gb 530mb/s Sata 3 para Notebook e Desktop,"63,",NoneType,/120gb-530mb-Sata-Notebook-Desktop/dp/B08RCWZX9W/ref=sr_1_28?keywords=ssd&qid=1684440445&sr=8-28,2023-05-18
"SD Sandisk Plus, 480GB, SATA, Leitura 535MB/s, Gravação 445MB/s, SDSSDA-480G-G26","199,",NoneType,/Sandisk-480GB-Leitura-Grava%C3%A7%C3%A3o-SDSSDA-480G-G26/dp/B01F9G46Q8/ref=sr_1_29?keywords=ssd&qid=1684440445&sr=8-29&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"SanDisk SSD interno de 1 TB - SATA III 6 Gb/s, 7 mm, até 535 MB/s - SDSSDA-1T00-G27, Preto","384,",NoneType,/SanDisk-SSD-interno-TB-SDSSDA-1T00-G27/dp/B09NQJMW28/ref=sr_1_30?keywords=ssd&qid=1684440445&sr=8-30&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b,2023-05-18
SSD Crucial P3 1TB NVMe PCIe M.2 2280 - CT1000P3SSD8,"335,",NoneType,/Crucial-PCIe-NAND-NVMe-3500MB/dp/B0B25LZGGW/ref=sr_1_31?keywords=ssd&qid=1684440445&sr=8-31&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
WD Green™ PC SN350 NVMe™ SSD 480GB,"190,",NoneType,/GreenTM-SN350-NVMeTM-SSD-480GB/dp/B093QKFRCC/ref=sr_1_32?keywords=ssd&qid=1684440445&sr=8-32&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
SSD Crucial P3 500GB NVMe M.2 2280 (Leitura até 3500MB/s e Gravação até 1900MB/s),"261,",NoneType,/Crucial-500GB-PCIe-NAND-3500MB/dp/B0B25LQQPC/ref=sr_1_33?keywords=ssd&qid=1684440445&sr=8-33&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12,2023-05-18
"Somnambulist SSD 480GB SATA III 6GB/S Interno Disco sólido 2,5”7mm 3D NAND Chip Up To 520 Mb/s Para Laptop Desktop (Preto Dragão-480GB)","139,",NoneType,/Somnambulist-Interno-s%C3%B3lido-Desktop-Drag%C3%A3o-480GB/dp/B096DN7DSR/ref=sr_1_34?keywords=ssd&qid=1684440445&sr=8-34&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"SAMSUNG 870 EVO SATA SSD 500 GB 2,5 polegadas, unidade interna de estado sólido, atualização de memória e armazenamento para PC ou laptop para profissionais de TI, criadores, usuários cotidianos, MZ-77E500B/AM","368,",NoneType,/SAMSUNG-interno-polegadas-MZ-77E500B-AM/dp/B08QBMD6P4/ref=sr_1_35?keywords=ssd&qid=1684440445&sr=8-35&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b,2023-05-18
"SSD interno PNY CS900 500 GB 3D NAND 2,5"" SATA III - (SSD7CS900-500-RB)","236,",NoneType,/PNY-Unidade-estado-s%C3%B3lido-interno/dp/B07XZLN9KM/ref=sr_1_36?keywords=ssd&qid=1684440445&sr=8-36&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,2023-05-18
"Ssd Multilaser 2, 5 Pol. 240Gb Axis 500 - Gravação 500 Mb/S - SS200","99,",NoneType,/SSD-AXIS-500-240GB-Multilaser/dp/B07SBNSSJ5/ref=sr_1_37?keywords=ssd&qid=1684440445&sr=8-37,2023-05-18
"Patriot SSD P300 512GB M.2 2280 PCI-E GEN 3 X4, Preto","212,",NoneType,/Patriot-P300-512GB-1700Mb-P300P512GM28/dp/B082BJ4679/ref=sr_1_38?keywords=ssd&qid=1684440445&sr=8-38&ufe=app_do%3Aamzn1.fos.6a09f7ec-d911-4889-ad70-de8dd83c8a74,2023-05-18
SSD ADATA SU650 240GB,"139,",NoneType,/Adata-SU650-240GB-SATA-ASU650SS-240GT-R/dp/B07HCN5MRN/ref=sr_1_39?keywords=ssd&qid=1684440445&sr=8-39&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
Ssd Crucial Bx500 2.5 480gb Sata Iii 500 Mb/s Novo com Nota,"169,",NoneType,/Unidade-cliente-Crucial-Bx500-480Gb/dp/B07GSYR24T/ref=sr_1_40?keywords=ssd&qid=1684440445&sr=8-40&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"SSD WD Green 1TB SATA lll 2,5""","335,",NoneType,/SSD-GREEN-1TB-7MM-SATA/dp/B09JQMGHDW/ref=sr_1_41?keywords=ssd&qid=1684440445&sr=8-41&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678,2023-05-18
Disco Sólido Ssd M2 Nvme 500gb Kingston Nv1 20x Rapido,"197,",NoneType,/Disco-S%C3%B3lido-500gb-Kingston-Rapido/dp/B08TB1N2XG/ref=sr_1_42?keywords=ssd&qid=1684440445&sr=8-42&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"Western Digital WD Green PC SN350 NVMe SSD 240GB, PRETO, WDS240G2G0C","139,",NoneType,/GreenTM-SN350-NVMeTM-SSD-240GB/dp/B093QL56WR/ref=sr_1_43?keywords=ssd&qid=1684440445&sr=8-43&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,2023-05-18
"SSD Sandisk Plus, 240GB, SATA, Leitura 530MB/s, Gravação 440MB/s, SDSSDA-240G-G26","156,",NoneType,/Sandisk-240GB-Leitura-Grava%C3%A7%C3%A3o-SDSSDA-240G-G26/dp/B01F9G43WU/ref=sr_1_44?keywords=ssd&qid=1684440445&sr=8-44&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d,2023-05-18
"XPG 1TB GAMMIX S70 Blade – Funciona com SSD interno para jogos Playstation 5, PCIe Gen4 M.2 2280 até 7.400 MB/s (AGAMMIXS70B-1T-CS)","447,",NoneType,/XPG-GAMMIX-Blade-interno-AGAMMIXS70B-1T-CS/dp/B093DP3X4H/ref=sr_1_45?keywords=ssd&qid=1684440445&sr=8-45&ufe=app_do%3Aamzn1.fos.e05b01e0-91a7-477e-a514-15a32325a6d6,2023-05-18
"SSD 2 TB Samsung 870 QVO SATA III 2,5 polegadas (MZ-77Q2T0)","994,",NoneType,/Samsung-870-SATA-polegadas-MZ-77Q2T0B/dp/B089C6LZ42/ref=sr_1_46?keywords=ssd&qid=1684440445&sr=8-46&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,2023-05-18
"SSD PATRIOT BURST 120GB 2,5' SATA 3 - PBE120GS25SSDR","92,",NoneType,/PATRIOT-BURST-120GB-SATA-PBE120GS25SSDR/dp/B08LKMQ9T4/ref=sr_1_47?keywords=ssd&qid=1684440445&sr=8-47,2023-05-18
"SSD Interno GREEN 1TB, Western Digital, Armazenamento Interno SSD WDS100T2G0A","361,",NoneType,/Interno-Western-Digital-Armazenamento-interno/dp/B07NNRTTCM/ref=sr_1_48?keywords=ssd&qid=1684440445&sr=8-48&ufe=app_do%3Aamzn1.fos.4bb5663b-6f7d-4772-84fa-7c7f565ec65b,2023-05-18
